City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
426,Meaford,CA,79.09,broken clouds,44.6001,-80.583,Meaford Memorial Park
427,Harper,LR,75.09,overcast clouds,4.375,-7.7169,Screensaver
428,Wajir,KE,80.35,few clouds,1.7471,40.0573,Mahatallah Hotel
430,Axim,GH,74.7,few clouds,4.8699,-2.2405,Axim Beach Resort And Spa
431,Ahuimanu,US,82.11,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
434,Yaan,NG,75.25,broken clouds,7.3833,8.5667,
440,Tiruchchendur,IN,82.44,overcast clouds,8.4833,78.1167,"Hotel Udhayam International, Thiruchendur"
442,Kilakarai,IN,81.99,overcast clouds,9.2333,78.7833,Kilakarai Home Stays
445,Datong,CN,70.25,overcast clouds,40.0936,113.2914,Holiday Inn Datong City Centre
447,Syracuse,IT,87.39,clear sky,37.0881,15.2792,Hotel Posta
450,Los Llanos De Aridane,ES,74.95,clear sky,28.6585,-17.9182,Valle Aridane
453,Ixtapa,MX,87.22,scattered clouds,20.7,-105.2,hotel la terminal
454,Nizwa,OM,88.18,overcast clouds,22.9333,57.5333,Orient Apartments
457,Lisakovsk,KZ,70.65,scattered clouds,52.5369,62.4936,Gostinitsa Lisakovsk
458,Bubaque,GW,76.78,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
459,Quirinopolis,BR,87.19,overcast clouds,-18.4483,-50.4517,Rota Hotéis - Quirinópolis GO
461,Birao,CF,73.67,light rain,10.2849,22.7882,
462,Rosa Zarate,EC,82.09,overcast clouds,0.3333,-79.4667,Piscinas y Recepciones Hecalash
463,Marquelia,MX,86.65,overcast clouds,16.5833,-98.8167,HOTEL CHÁVEZ MARQUELIA
465,Cabedelo,BR,79.47,broken clouds,-6.9811,-34.8339,Pousada Camboinha
466,Aquiraz,BR,88.45,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
468,Pedernales,DO,87.06,clear sky,18.0384,-71.744,Hotel Costa Marina
469,Lorengau,PG,81.57,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
470,Pervomayskoye,RU,73.58,broken clouds,43.919,46.7102,
471,Hami,CN,85.82,clear sky,42.8,93.45,Laoyutang Resort
472,Aitape,PG,77.92,scattered clouds,-3.1374,142.3475,
474,Aksay,RU,72.25,few clouds,47.26,39.87,Chernaya Zhemchuzhina
475,Turayf,SA,86.25,clear sky,31.6725,38.6637,Turaif
478,Pangai,TO,73.51,few clouds,-19.8,-174.35,Ha'apai Beach Resort
479,Kieta,PG,78.24,clear sky,-6.2167,155.6333,Uruna Bay Retreat
484,Honiara,SB,76.73,clear sky,-9.4333,159.95,Heritage Park Hotel
485,Bhopal,IN,73.63,heavy intensity rain,23.2667,77.4,SPOT ON 63658 Shukla Lodge
489,Chumphon,TH,71.87,broken clouds,10.3333,98.8333,สกาน จ๋า.
492,Micheweni,TZ,74.25,clear sky,-4.9667,39.8333,
493,Durusu,TR,78.98,clear sky,41.3053,28.6767,Durusu Talebe Yurdu
497,Santa Isabel Do Rio Negro,BR,82.35,overcast clouds,-0.4139,-65.0192,Hotel GSA
498,Kouroussa,GN,72.19,light rain,10.65,-9.8833,Hotel Tando Plus
499,Singkang,MY,74.43,overcast clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
500,Qabaqcol,AZ,71.64,moderate rain,41.72,46.2647,Дом Гурбанова(Ах|макишиль) Шабан
502,Mangaluru,IN,76.06,mist,12.8667,74.8833,Goldfinch Hotel Mangaluru
505,Lagoa,PT,74.07,clear sky,39.05,-27.9833,Casa Das Faias
507,Shimoda,JP,76.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
510,Sidi Ali,DZ,81.43,clear sky,36.0998,0.4206,Complexe touristique haje bezine
511,Ponta Pora,BR,87.71,clear sky,-22.5361,-55.7256,Hotel Pousada do Bosque
