City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
576,Talnakh,RU,69.4865,88.3972,58.21,80,26,14.7,scattered clouds
577,Puurmani,EE,58.5738,26.2878,64.62,98,89,5.68,overcast clouds
578,Takoradi,GH,4.8845,-1.7554,73.99,84,37,7.58,scattered clouds
579,Guerrero Negro,MX,27.9769,-114.0611,78.93,53,57,4.45,broken clouds
580,Dingle,PH,10.9995,122.6711,76.6,90,91,1.52,overcast clouds
581,Yarada,IN,17.65,83.2667,79.12,94,75,2.3,mist
582,Kurikka,FI,62.6167,22.4167,63.03,81,54,3.67,broken clouds
583,Krutinka,RU,56.0055,71.5113,55.24,90,11,7.0,few clouds
584,Taybad,IR,34.74,60.7756,86.56,26,0,20.8,clear sky
585,Sembakung,ID,3.8167,117.25,72.99,99,63,1.19,light rain
586,Dali,CN,25.7,100.1833,62.56,91,99,3.42,overcast clouds
587,Katsuura,JP,35.1333,140.3,77.4,89,95,10.38,overcast clouds
588,Novo Oriente,BR,-5.5344,-40.7742,91.2,30,80,6.33,broken clouds
589,Vallenar,CL,-28.5708,-70.7581,67.95,48,1,3.98,clear sky
590,Reserva,BR,-24.6503,-50.8506,70.02,51,94,0.74,overcast clouds
591,Brokopondo,SR,4.75,-55.1667,81.46,76,100,2.1,overcast clouds
592,Tura,IN,25.5198,90.2201,73.71,98,100,3.98,overcast clouds
593,Whyalla,AU,-33.0333,137.5833,54.43,83,44,15.77,scattered clouds
594,Fare,PF,-16.7,-151.0167,78.37,78,4,12.46,light rain
595,Ardmore,US,34.1743,-97.1436,101.86,31,40,11.5,scattered clouds
596,Atyrau,KZ,47.1167,51.8833,66.22,77,40,6.71,scattered clouds
597,Eagle Pass,US,28.7091,-100.4995,102.27,31,1,16.17,clear sky
598,Rock Sound,BS,24.9,-76.2,82.45,75,7,16.67,clear sky
599,Victoria Point,AU,-27.5833,153.3,53.91,90,3,1.01,clear sky
600,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,75.79,70,100,11.07,overcast clouds
601,Andros Town,BS,24.7,-77.7667,82.36,67,83,15.97,broken clouds
602,Akyab,MM,20.15,92.9,80.04,83,100,4.94,light rain
603,Turan,VN,16.0678,108.2208,78.78,89,20,2.3,few clouds
604,Mutoko,ZW,-17.397,32.2268,58.98,51,18,3.58,few clouds
605,Fortuna,US,40.5982,-124.1573,62.98,72,18,7.81,few clouds
606,Frontera,MX,26.9333,-101.45,96.33,46,20,5.01,few clouds
607,Tocopilla,CL,-22.092,-70.1979,63.75,69,21,7.18,few clouds
608,Avanigadda,IN,16.0215,80.9181,78.55,80,100,5.39,overcast clouds
609,Kolyubakino,RU,55.668,36.5323,71.78,85,100,3.47,overcast clouds
610,Coro,VE,11.4045,-69.6734,85.91,63,30,22.95,scattered clouds
611,Booue,GA,-0.0921,11.9385,75.24,86,100,1.12,light rain
612,La Asuncion,VE,11.0333,-63.8628,96.53,44,8,18.41,clear sky
613,Sioux Lookout,CA,50.1001,-91.917,55.47,82,100,18.41,overcast clouds
614,Durban,ZA,-29.8579,31.0292,58.12,70,13,19.51,few clouds
615,Kutum,SD,14.2,24.6667,86.95,26,90,5.06,overcast clouds
616,Batagay,RU,67.6333,134.6333,60.78,82,5,0.38,clear sky
617,Maromitsa,RU,59.8683,48.0123,62.6,87,31,3.13,scattered clouds
618,Iwaki,JP,37.05,140.8833,74.77,95,74,1.01,broken clouds
619,Nichinan,JP,31.6,131.3667,77.34,93,87,3.69,overcast clouds
620,Uyemskiy,RU,64.4743,40.8524,60.85,87,40,4.47,scattered clouds
621,Catayauan,PH,18.1636,121.6527,75.4,93,13,3.49,few clouds
622,Horta,PT,38.5333,-28.6333,74.84,88,75,9.22,broken clouds
623,Pasighat,IN,28.0667,95.3333,76.32,92,79,2.1,broken clouds
624,Saint-Augustin,CA,51.226,-58.6502,70.45,67,99,8.88,overcast clouds
625,Hambantota,LK,6.1241,81.1185,79.47,77,100,16.93,overcast clouds
626,Mlimba,TZ,-8.8,35.8167,69.82,58,1,3.44,clear sky
627,Khandyga,RU,62.6667,135.6,60.76,85,0,2.59,clear sky
628,Hueyapan,MX,18.8667,-98.6667,71.78,56,90,2.04,overcast clouds
629,Caranavi,BO,-15.8167,-67.55,78.44,46,66,3.98,broken clouds
630,Le Port,RE,-20.9373,55.2919,68.25,76,59,3.91,broken clouds
631,Hofn,IS,64.2539,-15.2082,52.25,83,21,5.48,few clouds
632,Andenes,NO,69.3143,16.1194,52.93,87,20,16.11,few clouds
633,Christchurch,NZ,-43.5333,172.6333,41.32,100,100,5.75,overcast clouds
634,Sompeta,IN,18.9333,84.6,81.7,82,100,4.65,overcast clouds
635,Floro,NO,61.5996,5.0328,61.23,94,75,24.16,broken clouds
636,Cayenne,GF,4.9333,-52.3333,85.08,18,98,7.0,overcast clouds
637,Tezu,IN,27.9167,96.1667,75.04,93,80,2.77,broken clouds
638,Zemio,CF,5.0314,25.1361,70.56,92,91,1.41,overcast clouds
639,Magadan,RU,59.5667,150.8,51.53,87,100,3.98,overcast clouds
640,Campoverde,PE,-8.4753,-74.8058,87.49,50,91,2.19,overcast clouds
641,Itarema,BR,-2.9248,-39.9167,82.58,71,64,16.44,broken clouds
642,Marzuq,YE,14.4,46.4667,79.68,57,16,8.46,light rain
643,Merauke,ID,-8.4667,140.3333,76.37,87,92,13.15,overcast clouds
644,Ko Samui,TH,9.5357,99.9357,83.64,73,16,8.37,few clouds
645,Ostersund,SE,63.1792,14.6357,59.61,100,20,12.66,few clouds
646,Guaruja,BR,-23.9931,-46.2564,71.46,73,75,3.44,broken clouds
647,Margate,GB,51.3813,1.3862,75.87,45,99,4.0,overcast clouds
648,Bronkhorstspruit,ZA,-25.8102,28.7425,55.56,32,0,9.1,clear sky
649,Kayerkan,RU,69.3497,87.7602,57.52,82,58,18.34,broken clouds
650,Peremyshlyany,UA,49.6652,24.5585,60.8,69,0,6.31,clear sky
651,Lompoc,US,34.6391,-120.4579,80.02,72,0,11.5,clear sky
652,Salgotarjan,HU,48.0987,19.803,68.86,62,12,4.16,few clouds
653,Roebourne,AU,-20.7833,117.1333,64.4,47,0,14.09,clear sky
654,Okha,RU,53.5739,142.9478,59.25,93,100,11.36,overcast clouds
655,Bud,US,39.447,-86.1758,89.67,73,48,13.87,scattered clouds
656,Ca Mau,VN,9.1769,105.15,77.18,91,10,1.74,clear sky
